FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
0,0.07407407407407407,0.12658227848101267,0.1095890410958904,0.11594202898550725,1.0,1.375,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.25,0.25,-0.375,0.25,-7.0,1.0,0.0
1,0.09876543209876544,0.16455696202531644,0.1232876712328767,0.14492753623188406,1.0,1.375,1,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,-0.125,0.375,-0.375,-0.5,16.0,0.0,1.0
1,0.16049382716049382,0.16455696202531644,0.1643835616438356,0.18840579710144928,1.4444444444444444,1.1111111111111112,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,-12.0,0.0,1.0
0,0.2345679012345679,0.10126582278481013,0.0684931506849315,0.13043478260869565,1.7777777777777777,1.2222222222222223,3,1,3,3,3,1,3,0,1,0,0,0,0,0,0,0,1.5555555555555556,-0.1111111111111111,0.5555555555555556,0.5555555555555556,7.0,1.0,0.0
1,0.09876543209876544,0.16455696202531644,0.2054794520547945,0.15942028985507245,0.8888888888888888,1.2222222222222223,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,-0.7777777777777778,0.2222222222222222,-0.3333333333333333,0.0,10.0,0.0,1.0
0,0.13580246913580246,0.13924050632911392,0.136986301369863,0.18840579710144928,1.2222222222222223,1.0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0.1111111111111111,-0.2222222222222222,0.2222222222222222,-0.5555555555555556,0.0,1.0,0.0
1,0.12345679012345677,0.13924050632911392,0.1506849315068493,0.2028985507246377,1.0,0.8888888888888888,0,1,3,3,1,1,3,3,0,0,0,0,0,0,0,0,-0.1111111111111111,-0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,1.0
0,0.1851851851851852,0.2278481012658228,0.1506849315068493,0.11594202898550725,1.4444444444444444,1.8888888888888888,3,3,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0.4444444444444444,1.1111111111111112,-0.4444444444444444,-0.1111111111111111,12.0,1.0,0.0
1,0.04938271604938271,0.20253164556962025,0.1780821917808219,0.2318840579710145,0.4444444444444444,1.0,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5555555555555556,-0.4444444444444444,10.0,0.0,1.0
1,0.1851851851851852,0.2911392405063291,0.1643835616438356,0.11594202898550725,1.3333333333333333,2.4444444444444446,0,3,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0.3333333333333333,1.6666666666666667,-1.1111111111111112,-0.3333333333333333,1.0,0.0,1.0
